song_id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,duration_ms,loudness,valence,mode,key
5ctNuquTVDsfMb9jKzsYu0,0.43,0.0731,150.048,0.556,0.414,2.57e-05,0.759,181000,-11.102,0.506,0,2
1LKN8wTnVvbvcEvPaAGXuI,0.608,0.139,139.946,0.183,0.0281,1.18e-05,0.784,211680,-8.202,0.422,1,6
6g9pbZC0f40ZmHgq8xsAn6,0.806,0.13,84.747,0.227,0.00613,0,0.6,488471,-4.392,0.502,1,1
5iZxLtBUcoQPXSO2iDERp1,0.751,0.634,169.914,0.332,0.0716,0,0.472,720000,-5.974,0.474,1,7
2sG0DhUyomwiWk5gcMUV7Z,0.74,0.192,90.164,0.278,0.532,0,0.798,245333,-2.534,0.861,1,2
2OWVCFTolecLiGZPquvWvT,0.536,0.107,119.883,0.173,0.821,4.57e-06,0.759,208080,-6.663,0.439,0,9
1Esanmv7bzjgOkpeC5bvyP,0.746,0.312,135.016,0.0499,0.000167,0.623,0.755,217067,-4.521,0.249,1,1
2gABnPYOMsyxThmsOQ4uWK,0.63,0.14,192.733,0.493,0.0123,0.00233,0.547,257747,-8.772,0.555,0,10
2b6i9zx3ULzKrNWmyP0ePD,0.761,0.0654,122.952,0.0937,0.336,2.12e-06,0.867,316000,-5.1,0.609,1,1
5iwcHaPGuWBBCjKjKmYDi6,0.896,0.357,87.03,0.217,0.265,0.00022,0.65,267586,-4.712,0.615,1,0
3OyQhuxr8fFaTnh5sHURci,0.523,0.109,77.892,0.155,0.463,2.53e-06,0.817,218742,-8.385,0.511,1,9
3EaQ8vn5i8TUyE5jmSAn2U,0.734,0.181,90.052,0.0532,0.0275,0.0421,0.695,245958,-5.823,0.451,1,9
3Oj5f6XETShvp2xknJyGMf,0.85,0.597,94.969,0.215,0.0954,1.12e-06,0.844,233720,-2.882,0.608,1,1
36TLULPgT9cQ2Cu0UCBh8Y,0.966,0.164,177.745,0.307,0.112,0,0.553,141053,-1.82,0.649,1,11
6phmKeRhJUsiSBJgMkgjg8,0.874,0.213,88.546,0.193,0.0114,0,0.709,264960,-4.522,0.832,1,7
6LZe8JfVaqcpq8yjkHtWQe,0.745,0.268,91.08,0.441,0.136,0,0.706,283077,-5.97,0.598,0,10
0eXeqGXAnF028500sPYvbY,0.794,0.157,184.545,0.304,0.174,0,0.558,164405,-5.947,0.431,0,7
5dqrgmHHBuUzwYKBXJuIm0,0.71,0.138,116.03,0.195,0.393,0,0.97,222905,-5.262,0.777,0,4
5e7ldn9Kwo8Aw9Z8ql9cDj,0.719,0.333,93.281,0.248,0.03,0,0.873,307773,-5.948,0.858,1,1
13AvIMuWOBUWGBhWGIHb6N,0.759,0.154,186.047,0.0631,0.0694,4.39e-06,0.693,229827,-4.184,0.63,1,11
39G61n0g2LCNfR6TEgz6nA,0.627,0.192,81.908,0.343,0.398,1.41e-05,0.779,262609,-11.255,0.701,1,8
1bW6HUcNcEP9LCuq694yeE,0.909,0.281,126.994,0.23,0.138,0,0.754,220079,-3.323,0.591,0,6
6Z9syPcYlnUvpMgmjQydIG,0.94,0.0851,90.233,0.164,0.0217,0.00779,0.358,218293,-4.274,0.497,0,7
7wzsEzZrvm7ztHzsOUWMv1,0.953,0.0898,84.982,0.179,0.031,0,0.628,183116,-3.284,0.71,1,11
