artist_name,track_name,end_time,ms_played,track_id
Calle 13,La Crema,2020-01-31 21:56,241240,3ZUwkZWSiYxkP8kZDlxqnL
Tones And I,Dance Monkey,2020-01-31 21:59,209438,2XU0oxnq2qxCpomAAuJY8K
Justin Bieber,Yummy,2020-01-31 22:03,210426,5R2FLI5NJc6T3mCNdooKaj
Lobo Estepario,Hablemos,2020-01-31 22:07,245454,4a95B0X4hYSyblp7UNwSsh
Duki,Hitboy,2020-01-31 22:10,179204,624AL3EwsrgGIp6bdwmXgo
El Ezequiel,Tres Gallitos,2020-01-31 22:10,4814,3FWAZnfVEWlUBB4YyZ0lEK
4 Elementos,Cypher #1 (Reggae Cypher),2020-01-31 22:14,227959,
Los Pericos,Runaway,2020-01-31 22:17,233267,0ZLakHzHWqUIlkeDa4i8aC
Iggy Azalea,Kream (feat. Tyga),2020-01-31 22:20,166626,5mu1uv8RmzDkF8foePK5qa
Duki,She Don't Give a Fo,2020-01-31 22:24,209531,03a359wbiUsjN9h6yzXvmS
Molotov,Frijolero,2020-01-31 22:27,210133,5YyetAy34sgROhslaW3BZc
Duki,Hello Cotto,2020-01-31 23:17,214051,422Avi2VjqZKCVzstKmqog
Akon,Smack That,2020-01-31 23:20,212360,3qKGvSu1inEZKwYQnMavNA
Eminem,Ass Like That,2020-01-31 23:24,265480,4gXdMZkBN1neE9nX6yRALa
RepliK,Amalgamemos,2020-01-31 23:27,175280,08LI9MqUu7xuyIoewG0iVM
Lil Supa,Fe de Errata,2020-01-31 23:31,186044,7lj2BqZyPehFyu3y6N1qqw
Joji,SLOW DANCING IN THE DARK,2020-01-31 23:34,209273,0rKtyWc8bvkriBthvHKY8d
Joji,Sanctuary,2020-01-31 23:37,180018,0rOLFkjY5DSIViVBNnzOuK
Joji,YEAH RIGHT,2020-01-31 23:40,174357,1VGzxJnVQND7Cg5H5wGj14
Bizarrap,"Nicki Nicole: Bzrp Music Sessions, Vol. 13",2020-01-31 23:42,143291,2S93hylQBYLndMnaJuso8S
J Balvin,MOJAITA,2020-01-31 23:45,35592,2RUuz0xAoJdykG9Hwc7JT2
H Muda,Sonido ilegal,2020-01-31 23:54,282303,
Red Bull Batalla de los Gallos,Valles T Vs Aczino - Semifinal (Live),2020-01-31 23:56,172517,37h0sxGYkmRhTRFbOssV6I
Red Bull Batalla de los Gallos,Carpediem Vs Bnet - Octavos de Final (Live),2020-01-31 23:58,86181,3yMMH6N6J9ZnEFA6YiCK6i
Red Bull Batalla de los Gallos,Valles T Vs Aczino - Semifinal (Live),2020-02-01 00:04,379058,37h0sxGYkmRhTRFbOssV6I
Red Bull Batalla de los Gallos,Valles T Vs Jokker Liricis - Cuartos de Final (Live),2020-02-01 00:09,257606,7rpC4Lv5jYGnATpt8Cq1JK
Red Bull Batalla de los Gallos,Aczino Vs Wos - Octavos de Final (Live),2020-02-01 00:18,559755,5IA8Qnaeu9minRHcFUn56F
Red Bull Batalla de los Gallos,Lobo Estepario Vs Zasko Master - Octavos de Final (Live),2020-02-01 00:18,6757,5R60F6WklJd3ekUlXqhFDJ
Cypress Hill,Siempre Peligroso (feat. Fermin IV Caballero),2020-02-01 00:22,237760,1hSJnfkEqbGF5afz5aqKqi
Porta,"Zorra Enchufada, Vendido Cabrón (Con H0lynaight)",2020-02-01 00:26,244671,1vU7wDlT3g9WKhUHBugTig
Molotov,Puto,2020-02-01 00:26,1507,20pmVJoqcnabJJO6OCW1ZS
Canserbero,Llovía,2020-02-01 00:37,69360,0V5aSGaNYMwnpv4CZO7JkD
Calle 13,Cabe-c-o,2020-02-01 00:51,214800,2xzD0VXNxvv9oiRwvqElZw
Eminem,Marsh,2020-02-01 12:24,200573,34d7sGX6WUqq8f04e7CSNF
Eminem,Little Engine,2020-02-01 12:27,177293,4qNWEOMyexn7b8Icyk29t9
Eminem,"Yah Yah (feat. Royce Da 5'9"", Black Thought, Q-Tip & Denaun)",2020-02-01 12:31,286960,5mZXWEH2eh8zMZGCxT5aW0
Eminem,"You Gon’ Learn (feat. Royce Da 5'9"" & White Gold)",2020-02-01 12:35,234653,0GQ5bFTVFFKpwNPc7KwQnB
H Muda,Sonido ilegal,2020-02-01 13:00,142130,
H Muda,Sonido ilegal,2020-02-01 20:34,282303,
Lit Killah,Tan Bien (feat. Agus Padilla),2020-02-01 20:38,204988,43Q1jBoHh3pQkh3Oy7TA1g
Eminem,Godzilla (feat. Juice WRLD),2020-02-01 20:41,210800,7FIWs0pqAYbP91WWM0vlTQ
Eminem,Unaccommodating (feat. Young M.A),2020-02-01 20:45,216600,0q2vG0UVuy6ajjcpkQHdZM
Calle 13,La Crema,2020-02-01 20:49,241240,3ZUwkZWSiYxkP8kZDlxqnL
Tones And I,Dance Monkey,2020-02-01 20:52,209438,2XU0oxnq2qxCpomAAuJY8K
Justin Bieber,Yummy,2020-02-01 20:56,210426,5R2FLI5NJc6T3mCNdooKaj
Lobo Estepario,Hablemos,2020-02-01 21:00,245454,4a95B0X4hYSyblp7UNwSsh
Duki,Hitboy,2020-02-01 21:03,179204,624AL3EwsrgGIp6bdwmXgo
El Ezequiel,Tres Gallitos,2020-02-01 21:06,200945,3FWAZnfVEWlUBB4YyZ0lEK
4 Elementos,Cypher #1 (Reggae Cypher),2020-02-01 21:10,227959,
Los Pericos,Runaway,2020-02-01 21:14,233267,0ZLakHzHWqUIlkeDa4i8aC
Iggy Azalea,Kream (feat. Tyga),2020-02-01 21:17,166626,5mu1uv8RmzDkF8foePK5qa
Duki,She Don't Give a Fo,2020-02-01 21:20,209531,03a359wbiUsjN9h6yzXvmS
Molotov,Frijolero,2020-02-01 23:11,150834,5YyetAy34sgROhslaW3BZc
Eminem,Marsh,2020-02-02 00:02,200573,34d7sGX6WUqq8f04e7CSNF
Eminem,Little Engine,2020-02-02 00:05,177293,4qNWEOMyexn7b8Icyk29t9
Eminem,"Yah Yah (feat. Royce Da 5'9"", Black Thought, Q-Tip & Denaun)",2020-02-02 00:10,286960,5mZXWEH2eh8zMZGCxT5aW0
Eminem,"You Gon’ Learn (feat. Royce Da 5'9"" & White Gold)",2020-02-02 00:14,234653,0GQ5bFTVFFKpwNPc7KwQnB
H Muda,Sonido ilegal,2020-02-02 00:18,282303,
Lit Killah,Tan Bien (feat. Agus Padilla),2020-02-02 00:22,204988,43Q1jBoHh3pQkh3Oy7TA1g
Eminem,Godzilla (feat. Juice WRLD),2020-02-02 00:39,74448,7FIWs0pqAYbP91WWM0vlTQ
H Muda,Sonido ilegal,2020-02-02 00:39,6088,
Eminem,Little Engine,2020-02-02 00:42,177293,4qNWEOMyexn7b8Icyk29t9
Eminem,"Yah Yah (feat. Royce Da 5'9"", Black Thought, Q-Tip & Denaun)",2020-02-02 00:47,286960,5mZXWEH2eh8zMZGCxT5aW0
Eminem,"You Gon’ Learn (feat. Royce Da 5'9"" & White Gold)",2020-02-02 00:51,234653,0GQ5bFTVFFKpwNPc7KwQnB
H Muda,Sonido ilegal,2020-02-02 00:55,282303,
Lit Killah,Tan Bien (feat. Agus Padilla),2020-02-02 00:59,204988,43Q1jBoHh3pQkh3Oy7TA1g
Eminem,Godzilla (feat. Juice WRLD),2020-02-02 01:02,210800,7FIWs0pqAYbP91WWM0vlTQ
Eminem,Unaccommodating (feat. Young M.A),2020-02-02 01:06,216600,0q2vG0UVuy6ajjcpkQHdZM
Calle 13,La Crema,2020-02-02 01:19,82421,3ZUwkZWSiYxkP8kZDlxqnL
Eminem,Marsh,2020-02-02 02:36,200573,34d7sGX6WUqq8f04e7CSNF
Eminem,Little Engine,2020-02-02 02:38,177293,4qNWEOMyexn7b8Icyk29t9
Eminem,"Yah Yah (feat. Royce Da 5'9"", Black Thought, Q-Tip & Denaun)",2020-02-02 02:43,286960,5mZXWEH2eh8zMZGCxT5aW0
Eminem,"You Gon’ Learn (feat. Royce Da 5'9"" & White Gold)",2020-02-02 02:47,234653,0GQ5bFTVFFKpwNPc7KwQnB
H Muda,Sonido ilegal,2020-02-02 02:52,282303,
Lit Killah,Tan Bien (feat. Agus Padilla),2020-02-02 02:55,204988,43Q1jBoHh3pQkh3Oy7TA1g
Eminem,Godzilla (feat. Juice WRLD),2020-02-02 02:59,210800,7FIWs0pqAYbP91WWM0vlTQ
Eminem,Unaccommodating (feat. Young M.A),2020-02-02 03:16,216600,0q2vG0UVuy6ajjcpkQHdZM
Calle 13,La Crema,2020-02-02 03:20,241240,3ZUwkZWSiYxkP8kZDlxqnL
Tones And I,Dance Monkey,2020-02-02 03:23,209438,2XU0oxnq2qxCpomAAuJY8K
Justin Bieber,Yummy,2020-02-02 03:27,210426,5R2FLI5NJc6T3mCNdooKaj
Lobo Estepario,Hablemos,2020-02-02 03:31,245454,4a95B0X4hYSyblp7UNwSsh
Duki,Hitboy,2020-02-02 03:34,179204,624AL3EwsrgGIp6bdwmXgo
El Ezequiel,Tres Gallitos,2020-02-02 03:37,200945,3FWAZnfVEWlUBB4YyZ0lEK
4 Elementos,Cypher #1 (Reggae Cypher),2020-02-02 03:55,227959,
Los Pericos,Runaway,2020-02-02 04:00,233267,0ZLakHzHWqUIlkeDa4i8aC
