artist_name,track_name,end_time,ms_played,track_id,song_id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,duration_ms,loudness,valence,mode,key,loudness_adj,date,mins_played,liked
El Ezequiel,Tres Gallitos,2020-01-01 02:57,200945,3FWAZnfVEWlUBB4YyZ0lEK,3FWAZnfVEWlUBB4YyZ0lEK,0.542,0.155,85.15,0.0354,0.699,0.0,0.592,200945,-3.72,0.856,1,3,0.8971420486700622,2020-01-01,3.35,True
Los Pericos,Runaway,2020-01-01 03:13,1906,0ZLakHzHWqUIlkeDa4i8aC,0ZLakHzHWqUIlkeDa4i8aC,0.731,0.624,150.151,0.0368,0.0438,1.26e-05,0.676,233268,-5.253,0.812,1,9,0.8609932088285228,2020-01-01,0.03,False
El Ezequiel,Tres Gallitos,2020-01-01 05:04,200945,3FWAZnfVEWlUBB4YyZ0lEK,3FWAZnfVEWlUBB4YyZ0lEK,0.542,0.155,85.15,0.0354,0.699,0.0,0.592,200945,-3.72,0.856,1,3,0.8971420486700622,2020-01-01,3.35,True
Los Pericos,Runaway,2020-01-01 05:12,233267,0ZLakHzHWqUIlkeDa4i8aC,0ZLakHzHWqUIlkeDa4i8aC,0.731,0.624,150.151,0.0368,0.0438,1.26e-05,0.676,233268,-5.253,0.812,1,9,0.8609932088285228,2020-01-01,3.89,True
Iggy Azalea,Kream (feat. Tyga),2020-01-01 05:15,166626,5mu1uv8RmzDkF8foePK5qa,5mu1uv8RmzDkF8foePK5qa,0.425,0.108,174.028,0.137,0.0335,4.36e-06,0.785,166627,-6.665,0.192,1,10,0.8276976042256178,2020-01-01,2.78,True
Duki,She Don't Give a Fo,2020-01-01 05:18,209531,03a359wbiUsjN9h6yzXvmS,03a359wbiUsjN9h6yzXvmS,0.556,0.165,119.938,0.14,0.345,0.0,0.854,209531,-4.49,0.342,1,1,0.8789850971514808,2020-01-01,3.49,True
Molotov,Frijolero,2020-01-01 05:22,210133,5YyetAy34sgROhslaW3BZc,5YyetAy34sgROhslaW3BZc,0.653,0.0609,95.009,0.0361,0.107,0.0,0.774,210133,-4.304,0.845,1,2,0.8833710620637615,2020-01-01,3.5,True
Duki,Hello Cotto,2020-01-01 05:25,217286,422Avi2VjqZKCVzstKmqog,422Avi2VjqZKCVzstKmqog,0.785,0.0506,139.956,0.344,0.0472,0.0,0.843,217250,-2.893,0.43,0,10,0.9166430862101489,2020-01-01,3.62,True
Akapellah,Ímpetu,2020-01-01 05:28,185306,0r8pwDCv77bCJ2edzbIyJR,0r8pwDCv77bCJ2edzbIyJR,0.667,0.0933,92.308,0.288,0.275,0.0,0.473,185587,-6.756,0.107,1,2,0.8255517826825126,2020-01-01,3.09,True
Lil Supa,'99,2020-01-01 05:32,181333,709mETGcDrctQgqJKLwCWm,709mETGcDrctQgqJKLwCWm,0.84,0.35,179.97,0.374,0.111,0.0,0.563,181333,-4.716,0.783,1,1,0.8736559139784945,2020-01-01,3.02,True
Lil Supa,Valórate,2020-01-01 05:36,237035,3Cvj23hegZs1XDlfPWbJdp,3Cvj23hegZs1XDlfPWbJdp,0.704,0.229,80.621,0.29,0.772,0.0176,0.4,237035,-8.696,0.482,0,8,0.7798056970382946,2020-01-01,3.95,True
Lil Supa,Mista Uanteik,2020-01-01 05:41,260649,5ZAVPUsb3KumdvhQrFetiY,5ZAVPUsb3KumdvhQrFetiY,0.745,0.213,92.167,0.214,0.291,0.0,0.646,260650,-6.768,0.511,0,4,0.825268817204301,2020-01-01,4.34,True
Lil Supa,光 Luz,2020-01-01 05:44,220606,5aF2hoUHaU9GainPXIZDMV,5aF2hoUHaU9GainPXIZDMV,0.934,0.122,149.68,0.237,0.0893,0.019,0.461,284000,-4.947,0.636,0,8,0.86820882852292,2020-01-01,3.68,True
Cypress Hill,Siempre Peligroso (feat. Fermin IV Caballero),2020-01-01 05:48,237760,1hSJnfkEqbGF5afz5aqKqi,1hSJnfkEqbGF5afz5aqKqi,0.615,0.0578,92.089,0.377,0.0289,3.1e-05,0.901,237760,-9.837,0.674,0,1,0.7529003961516695,2020-01-01,3.96,True
Santaflow,Las Cartas Sobre la Mesa,2020-01-01 06:07,485262,3NmOEBbvcQKb0JeYOFH48O,3NmOEBbvcQKb0JeYOFH48O,0.863,0.472,169.978,0.255,0.0133,0.0,0.695,705004,-4.965,0.787,1,7,0.8677843803056028,2020-01-01,8.09,True
Cypress Hill,Siempre Peligroso (feat. Fermin IV Caballero),2020-01-01 06:35,237760,1hSJnfkEqbGF5afz5aqKqi,1hSJnfkEqbGF5afz5aqKqi,0.615,0.0578,92.089,0.377,0.0289,3.1e-05,0.901,237760,-9.837,0.674,0,1,0.7529003961516695,2020-01-01,3.96,True
Santaflow,Las Cartas Sobre la Mesa,2020-01-01 06:47,668745,3NmOEBbvcQKb0JeYOFH48O,3NmOEBbvcQKb0JeYOFH48O,0.863,0.472,169.978,0.255,0.0133,0.0,0.695,705004,-4.965,0.787,1,7,0.8677843803056028,2020-01-01,11.15,True
Santaflow,Las Cartas Sobre la Mesa,2020-01-01 14:46,2031,3NmOEBbvcQKb0JeYOFH48O,3NmOEBbvcQKb0JeYOFH48O,0.863,0.472,169.978,0.255,0.0133,0.0,0.695,705004,-4.965,0.787,1,7,0.8677843803056028,2020-01-01,0.03,False
Los Pericos,Runaway,2020-01-01 15:09,58549,0ZLakHzHWqUIlkeDa4i8aC,0ZLakHzHWqUIlkeDa4i8aC,0.731,0.624,150.151,0.0368,0.0438,1.26e-05,0.676,233268,-5.253,0.812,1,9,0.8609932088285228,2020-01-01,0.98,False
El Ezequiel,Tres Gallitos,2020-01-01 15:27,206136,3FWAZnfVEWlUBB4YyZ0lEK,3FWAZnfVEWlUBB4YyZ0lEK,0.542,0.155,85.15,0.0354,0.699,0.0,0.592,200945,-3.72,0.856,1,3,0.8971420486700622,2020-01-01,3.44,True
Los Pericos,Runaway,2020-01-01 15:35,233267,0ZLakHzHWqUIlkeDa4i8aC,0ZLakHzHWqUIlkeDa4i8aC,0.731,0.624,150.151,0.0368,0.0438,1.26e-05,0.676,233268,-5.253,0.812,1,9,0.8609932088285228,2020-01-01,3.89,True
Iggy Azalea,Kream (feat. Tyga),2020-01-01 15:37,166626,5mu1uv8RmzDkF8foePK5qa,5mu1uv8RmzDkF8foePK5qa,0.425,0.108,174.028,0.137,0.0335,4.36e-06,0.785,166627,-6.665,0.192,1,10,0.8276976042256178,2020-01-01,2.78,True
Duki,She Don't Give a Fo,2020-01-01 15:41,209531,03a359wbiUsjN9h6yzXvmS,03a359wbiUsjN9h6yzXvmS,0.556,0.165,119.938,0.14,0.345,0.0,0.854,209531,-4.49,0.342,1,1,0.8789850971514808,2020-01-01,3.49,True
Molotov,Frijolero,2020-01-01 15:44,210133,5YyetAy34sgROhslaW3BZc,5YyetAy34sgROhslaW3BZc,0.653,0.0609,95.009,0.0361,0.107,0.0,0.774,210133,-4.304,0.845,1,2,0.8833710620637615,2020-01-01,3.5,True
Duki,Hello Cotto,2020-01-01 15:48,217286,422Avi2VjqZKCVzstKmqog,422Avi2VjqZKCVzstKmqog,0.785,0.0506,139.956,0.344,0.0472,0.0,0.843,217250,-2.893,0.43,0,10,0.9166430862101489,2020-01-01,3.62,True
Akapellah,Ímpetu,2020-01-01 15:51,185306,0r8pwDCv77bCJ2edzbIyJR,0r8pwDCv77bCJ2edzbIyJR,0.667,0.0933,92.308,0.288,0.275,0.0,0.473,185587,-6.756,0.107,1,2,0.8255517826825126,2020-01-01,3.09,True
Lil Supa,'99,2020-01-01 15:54,181333,709mETGcDrctQgqJKLwCWm,709mETGcDrctQgqJKLwCWm,0.84,0.35,179.97,0.374,0.111,0.0,0.563,181333,-4.716,0.783,1,1,0.8736559139784945,2020-01-01,3.02,True
Lil Supa,Valórate,2020-01-01 15:58,237035,3Cvj23hegZs1XDlfPWbJdp,3Cvj23hegZs1XDlfPWbJdp,0.704,0.229,80.621,0.29,0.772,0.0176,0.4,237035,-8.696,0.482,0,8,0.7798056970382946,2020-01-01,3.95,True
Lil Supa,Mista Uanteik,2020-01-01 16:02,260649,5ZAVPUsb3KumdvhQrFetiY,5ZAVPUsb3KumdvhQrFetiY,0.745,0.213,92.167,0.214,0.291,0.0,0.646,260650,-6.768,0.511,0,4,0.825268817204301,2020-01-01,4.34,True
Lil Supa,光 Luz,2020-01-01 16:07,284000,5aF2hoUHaU9GainPXIZDMV,5aF2hoUHaU9GainPXIZDMV,0.934,0.122,149.68,0.237,0.0893,0.019,0.461,284000,-4.947,0.636,0,8,0.86820882852292,2020-01-01,4.73,True
La Bomba de Tiempo,Bolivia,2020-01-01 16:11,240799,2MuDW3QK1SAk35OnTnDLLp,2MuDW3QK1SAk35OnTnDLLp,0.598,0.591,100.014,0.0648,0.44,0.0274,0.737,240799,-9.817,0.766,0,9,0.7533720052820222,2020-01-01,4.01,True
Guaynaa,Chicharrón,2020-01-01 16:40,60037,5UVa8Qqb9L1dVxl3jKQ5J1,5UVa8Qqb9L1dVxl3jKQ5J1,0.789,0.498,76.182,0.454,0.445,9.06e-05,0.734,195867,-4.305,0.811,0,10,0.8833474816072439,2020-01-01,1.0,False
El Ezequiel,Tres Gallitos,2020-01-01 20:25,200945,3FWAZnfVEWlUBB4YyZ0lEK,3FWAZnfVEWlUBB4YyZ0lEK,0.542,0.155,85.15,0.0354,0.699,0.0,0.592,200945,-3.72,0.856,1,3,0.8971420486700622,2020-01-01,3.35,True
Los Pericos,Runaway,2020-01-01 20:32,233267,0ZLakHzHWqUIlkeDa4i8aC,0ZLakHzHWqUIlkeDa4i8aC,0.731,0.624,150.151,0.0368,0.0438,1.26e-05,0.676,233268,-5.253,0.812,1,9,0.8609932088285228,2020-01-01,3.89,True
Iggy Azalea,Kream (feat. Tyga),2020-01-01 20:35,166626,5mu1uv8RmzDkF8foePK5qa,5mu1uv8RmzDkF8foePK5qa,0.425,0.108,174.028,0.137,0.0335,4.36e-06,0.785,166627,-6.665,0.192,1,10,0.8276976042256178,2020-01-01,2.78,True
Duki,She Don't Give a Fo,2020-01-01 20:45,209531,03a359wbiUsjN9h6yzXvmS,03a359wbiUsjN9h6yzXvmS,0.556,0.165,119.938,0.14,0.345,0.0,0.854,209531,-4.49,0.342,1,1,0.8789850971514808,2020-01-01,3.49,True
Molotov,Frijolero,2020-01-01 20:48,210133,5YyetAy34sgROhslaW3BZc,5YyetAy34sgROhslaW3BZc,0.653,0.0609,95.009,0.0361,0.107,0.0,0.774,210133,-4.304,0.845,1,2,0.8833710620637615,2020-01-01,3.5,True
Duki,Hello Cotto,2020-01-01 20:52,217286,422Avi2VjqZKCVzstKmqog,422Avi2VjqZKCVzstKmqog,0.785,0.0506,139.956,0.344,0.0472,0.0,0.843,217250,-2.893,0.43,0,10,0.9166430862101489,2020-01-01,3.62,True
Akapellah,Ímpetu,2020-01-01 20:55,185306,0r8pwDCv77bCJ2edzbIyJR,0r8pwDCv77bCJ2edzbIyJR,0.667,0.0933,92.308,0.288,0.275,0.0,0.473,185587,-6.756,0.107,1,2,0.8255517826825126,2020-01-01,3.09,True
Lil Supa,'99,2020-01-01 20:58,181333,709mETGcDrctQgqJKLwCWm,709mETGcDrctQgqJKLwCWm,0.84,0.35,179.97,0.374,0.111,0.0,0.563,181333,-4.716,0.783,1,1,0.8736559139784945,2020-01-01,3.02,True
Lil Supa,Valórate,2020-01-01 21:02,237035,3Cvj23hegZs1XDlfPWbJdp,3Cvj23hegZs1XDlfPWbJdp,0.704,0.229,80.621,0.29,0.772,0.0176,0.4,237035,-8.696,0.482,0,8,0.7798056970382946,2020-01-01,3.95,True
Lil Supa,Mista Uanteik,2020-01-01 21:06,260649,5ZAVPUsb3KumdvhQrFetiY,5ZAVPUsb3KumdvhQrFetiY,0.745,0.213,92.167,0.214,0.291,0.0,0.646,260650,-6.768,0.511,0,4,0.825268817204301,2020-01-01,4.34,True
Lil Supa,光 Luz,2020-01-01 21:11,284000,5aF2hoUHaU9GainPXIZDMV,5aF2hoUHaU9GainPXIZDMV,0.934,0.122,149.68,0.237,0.0893,0.019,0.461,284000,-4.947,0.636,0,8,0.86820882852292,2020-01-01,4.73,True
La Bomba de Tiempo,Bolivia,2020-01-01 21:15,240799,2MuDW3QK1SAk35OnTnDLLp,2MuDW3QK1SAk35OnTnDLLp,0.598,0.591,100.014,0.0648,0.44,0.0274,0.737,240799,-9.817,0.766,0,9,0.7533720052820222,2020-01-01,4.01,True
Guaynaa,Chicharrón,2020-01-01 21:18,195866,5UVa8Qqb9L1dVxl3jKQ5J1,5UVa8Qqb9L1dVxl3jKQ5J1,0.789,0.498,76.182,0.454,0.445,9.06e-05,0.734,195867,-4.305,0.811,0,10,0.8833474816072439,2020-01-01,3.26,True
Post Malone,Circles,2020-01-01 21:22,215280,21jGcNKet2qwijlDFuPiPb,21jGcNKet2qwijlDFuPiPb,0.762,0.0863,120.042,0.0395,0.192,0.00244,0.695,215280,-3.497,0.553,1,0,0.9024004904734955,2020-01-01,3.59,True
Post Malone,Take What You Want (feat. Ozzy Osbourne & Travis Scott),2020-01-01 21:26,229573,7CZyCXKG6d5ALeq41sLzbw,7CZyCXKG6d5ALeq41sLzbw,0.8,0.147,139.919,0.0502,0.0906,0.0,0.499,229573,-2.665,0.272,0,1,0.9220194302961705,2020-01-01,3.83,True
Melendi,Cheque al portamor,2020-01-01 21:28,11849,2FhLn92NDtRW6hKJvj9yX5,2FhLn92NDtRW6hKJvj9yX5,0.627,0.151,147.839,0.0315,0.397,0.0,0.556,295718,-4.931,0.364,0,4,0.8685861158272024,2020-01-01,0.2,False
Post Malone,Saint-Tropez,2020-01-01 21:28,150866,05mDaV9Vb3wrzjF6OPZnhq,05mDaV9Vb3wrzjF6OPZnhq,0.684,0.104,132.113,0.0439,0.0545,0.0,0.617,150867,-3.618,0.295,1,0,0.8995472552348612,2020-01-01,2.51,False
Lit Killah,Tan Bien (feat. Agus Padilla),2020-01-01 21:35,204988,43Q1jBoHh3pQkh3Oy7TA1g,43Q1jBoHh3pQkh3Oy7TA1g,0.761,0.05,105.005,0.0343,0.108,5.05e-05,0.784,204989,-4.253,0.385,0,10,0.884573665346161,2020-01-01,3.42,True
Lit Killah,Bufón,2020-01-01 21:39,242500,6ovp1nCwIAOSMotiCF7pjk,6ovp1nCwIAOSMotiCF7pjk,0.637,0.366,130.071,0.0977,0.165,0.0,0.851,242500,-5.534,0.526,1,5,0.8543671005470665,2020-01-01,4.04,True
Post Malone,Saint-Tropez,2020-01-01 21:44,10288,05mDaV9Vb3wrzjF6OPZnhq,05mDaV9Vb3wrzjF6OPZnhq,0.684,0.104,132.113,0.0439,0.0545,0.0,0.617,150867,-3.618,0.295,1,0,0.8995472552348612,2020-01-01,0.17,False
88rising,Midsummer Madness,2020-01-01 21:44,280841,6TodWdTSDfzwgYynTZSvJn,6TodWdTSDfzwgYynTZSvJn,0.678,0.167,89.968,0.0878,0.359,4.76e-06,0.409,280842,-7.731,0.168,1,9,0.8025608375778154,2020-01-01,4.68,True
Cypress Hill,Siempre Peligroso (feat. Fermin IV Caballero),2020-01-01 21:48,237760,1hSJnfkEqbGF5afz5aqKqi,1hSJnfkEqbGF5afz5aqKqi,0.615,0.0578,92.089,0.377,0.0289,3.1e-05,0.901,237760,-9.837,0.674,0,1,0.7529003961516695,2020-01-01,3.96,True
Santaflow,Las Cartas Sobre la Mesa,2020-01-01 22:00,705004,3NmOEBbvcQKb0JeYOFH48O,3NmOEBbvcQKb0JeYOFH48O,0.863,0.472,169.978,0.255,0.0133,0.0,0.695,705004,-4.965,0.787,1,7,0.8677843803056028,2020-01-01,11.75,True
Canserbero,Llovía,2020-01-01 22:29,107199,0V5aSGaNYMwnpv4CZO7JkD,0V5aSGaNYMwnpv4CZO7JkD,0.674,0.0696,84.006,0.122,0.524,0.693,0.494,292075,-4.392,0.566,0,4,0.8812959818902093,2020-01-01,1.79,False
Randy,Soy Una Gargola,2020-01-01 22:40,2380,4bEwaORm2IBfu3omjEna7I,4bEwaORm2IBfu3omjEna7I,0.711,0.401,94.034,0.195,0.131,0.0,0.836,249344,-3.377,0.618,0,4,0.9052301452556121,2020-01-01,0.04,False
Duki,She Don't Give a Fo,2020-01-01 22:48,209531,03a359wbiUsjN9h6yzXvmS,03a359wbiUsjN9h6yzXvmS,0.556,0.165,119.938,0.14,0.345,0.0,0.854,209531,-4.49,0.342,1,1,0.8789850971514808,2020-01-01,3.49,True
Molotov,Frijolero,2020-01-01 22:51,210133,5YyetAy34sgROhslaW3BZc,5YyetAy34sgROhslaW3BZc,0.653,0.0609,95.009,0.0361,0.107,0.0,0.774,210133,-4.304,0.845,1,2,0.8833710620637615,2020-01-01,3.5,True
Akapellah,Ímpetu,2020-01-01 22:55,23746,0r8pwDCv77bCJ2edzbIyJR,0r8pwDCv77bCJ2edzbIyJR,0.667,0.0933,92.308,0.288,0.275,0.0,0.473,185587,-6.756,0.107,1,2,0.8255517826825126,2020-01-01,0.4,False
Duki,Hello Cotto,2020-01-01 22:55,217286,422Avi2VjqZKCVzstKmqog,422Avi2VjqZKCVzstKmqog,0.785,0.0506,139.956,0.344,0.0472,0.0,0.843,217250,-2.893,0.43,0,10,0.9166430862101489,2020-01-01,3.62,True
Cypress Hill,Siempre Peligroso (feat. Fermin IV Caballero),2020-01-01 23:18,74800,1hSJnfkEqbGF5afz5aqKqi,1hSJnfkEqbGF5afz5aqKqi,0.615,0.0578,92.089,0.377,0.0289,3.1e-05,0.901,237760,-9.837,0.674,0,1,0.7529003961516695,2020-01-01,1.25,False
Canserbero,Llovía,2020-01-02 01:10,417,0V5aSGaNYMwnpv4CZO7JkD,0V5aSGaNYMwnpv4CZO7JkD,0.674,0.0696,84.006,0.122,0.524,0.693,0.494,292075,-4.392,0.566,0,4,0.8812959818902093,2020-01-02,0.01,False
Cypress Hill,Siempre Peligroso (feat. Fermin IV Caballero),2020-01-02 01:14,237760,1hSJnfkEqbGF5afz5aqKqi,1hSJnfkEqbGF5afz5aqKqi,0.615,0.0578,92.089,0.377,0.0289,3.1e-05,0.901,237760,-9.837,0.674,0,1,0.7529003961516695,2020-01-02,3.96,True
El Ezequiel,Tres Gallitos,2020-01-02 01:18,200945,3FWAZnfVEWlUBB4YyZ0lEK,3FWAZnfVEWlUBB4YyZ0lEK,0.542,0.155,85.15,0.0354,0.699,0.0,0.592,200945,-3.72,0.856,1,3,0.8971420486700622,2020-01-02,3.35,True
El Ezequiel,Tres Gallitos,2020-01-02 15:53,200945,3FWAZnfVEWlUBB4YyZ0lEK,3FWAZnfVEWlUBB4YyZ0lEK,0.542,0.155,85.15,0.0354,0.699,0.0,0.592,200945,-3.72,0.856,1,3,0.8971420486700622,2020-01-02,3.35,True
Cypress Hill,Siempre Peligroso (feat. Fermin IV Caballero),2020-01-02 17:24,237760,1hSJnfkEqbGF5afz5aqKqi,1hSJnfkEqbGF5afz5aqKqi,0.615,0.0578,92.089,0.377,0.0289,3.1e-05,0.901,237760,-9.837,0.674,0,1,0.7529003961516695,2020-01-02,3.96,True
Santaflow,Las Cartas Sobre la Mesa,2020-01-02 17:36,680100,3NmOEBbvcQKb0JeYOFH48O,3NmOEBbvcQKb0JeYOFH48O,0.863,0.472,169.978,0.255,0.0133,0.0,0.695,705004,-4.965,0.787,1,7,0.8677843803056028,2020-01-02,11.34,True
Los Pericos,Runaway,2020-01-02 17:40,233267,0ZLakHzHWqUIlkeDa4i8aC,0ZLakHzHWqUIlkeDa4i8aC,0.731,0.624,150.151,0.0368,0.0438,1.26e-05,0.676,233268,-5.253,0.812,1,9,0.8609932088285228,2020-01-02,3.89,True
Canserbero,Stupid Love Story,2020-01-02 18:10,233000,1VIQPJc3fGfX23S6SD651l,1VIQPJc3fGfX23S6SD651l,0.534,0.615,93.477,0.386,0.504,0.0,0.747,282697,-8.635,0.569,1,8,0.7812441048858706,2020-01-02,3.88,True
Duki,She Don't Give a Fo,2020-01-02 18:26,209531,03a359wbiUsjN9h6yzXvmS,03a359wbiUsjN9h6yzXvmS,0.556,0.165,119.938,0.14,0.345,0.0,0.854,209531,-4.49,0.342,1,1,0.8789850971514808,2020-01-02,3.49,True
Molotov,Frijolero,2020-01-02 18:30,210133,5YyetAy34sgROhslaW3BZc,5YyetAy34sgROhslaW3BZc,0.653,0.0609,95.009,0.0361,0.107,0.0,0.774,210133,-4.304,0.845,1,2,0.8833710620637615,2020-01-02,3.5,True
Duki,Hello Cotto,2020-01-02 18:33,217286,422Avi2VjqZKCVzstKmqog,422Avi2VjqZKCVzstKmqog,0.785,0.0506,139.956,0.344,0.0472,0.0,0.843,217250,-2.893,0.43,0,10,0.9166430862101489,2020-01-02,3.62,True
Akapellah,Ímpetu,2020-01-02 18:37,185306,0r8pwDCv77bCJ2edzbIyJR,0r8pwDCv77bCJ2edzbIyJR,0.667,0.0933,92.308,0.288,0.275,0.0,0.473,185587,-6.756,0.107,1,2,0.8255517826825126,2020-01-02,3.09,True
Lil Supa,'99,2020-01-02 20:05,8819,709mETGcDrctQgqJKLwCWm,709mETGcDrctQgqJKLwCWm,0.84,0.35,179.97,0.374,0.111,0.0,0.563,181333,-4.716,0.783,1,1,0.8736559139784945,2020-01-02,0.15,False
C. Tangana,5 Stars (feat. Polima Westcoast),2020-01-02 21:25,422,7KAveXwQ5xzdHT6GDlNIBu,7KAveXwQ5xzdHT6GDlNIBu,0.723,0.106,123.993,0.0458,0.243,0.0,0.801,244972,-5.595,0.599,0,7,0.8529286926994907,2020-01-02,0.01,False
Duki,Goteo,2020-01-02 21:25,1123,1EoEU4HY57qaITp06TkC6B,1EoEU4HY57qaITp06TkC6B,0.779,0.189,108.287,0.0414,0.186,0.0,0.473,164458,-3.725,0.438,1,1,0.897024146387474,2020-01-02,0.02,False
KHEA,Ánimo (feat. Duki & Midel),2020-01-02 21:25,45,51CmC2Dx6cvWJxbsdcpu76,51CmC2Dx6cvWJxbsdcpu76,0.59,0.152,129.997,0.095,0.203,0.0,0.817,169846,-4.197,0.461,0,0,0.8858941709111487,2020-01-02,0.0,False
Duki,It's a Vibe,2020-01-02 21:25,918,6HvD8JhIe9Mq6gyql32rYb,6HvD8JhIe9Mq6gyql32rYb,0.785,0.0772,97.014,0.271,0.451,2.44e-06,0.903,220311,-5.731,0.642,0,9,0.8497217506130917,2020-01-02,0.02,False
Duki,One Million Dollar Baby,2020-01-02 21:25,777,2u5yscz12pZF9Z3ls3BshU,2u5yscz12pZF9Z3ls3BshU,0.771,0.111,115.008,0.0323,0.153,0.0,0.77,280172,-5.1,0.538,0,8,0.8646010186757215,2020-01-02,0.01,False
Frijo,"Like Boss - Remix (feat. Duki, Bizarrap, Akapellah, Polima Westcoast, Moonkey, Zanto, Santoz)",2020-01-02 21:25,2,2H2pkZBzWDX2TzGW7sp014,2H2pkZBzWDX2TzGW7sp014,0.612,0.231,99.983,0.0592,0.204,0.0,0.853,362281,-5.271,0.589,0,10,0.8605687606112054,2020-01-02,0.0,False
Fuego,Cereza,2020-01-02 21:25,664,668JOhJXCQeUkAsjfREN78,668JOhJXCQeUkAsjfREN78,0.596,0.127,146.028,0.111,0.137,0.0,0.769,164200,-5.931,0.143,1,7,0.8450056593095643,2020-01-02,0.01,False
Duki,Hello Cotto,2020-01-02 21:25,1240,422Avi2VjqZKCVzstKmqog,422Avi2VjqZKCVzstKmqog,0.785,0.0506,139.956,0.344,0.0472,0.0,0.843,217250,-2.893,0.43,0,10,0.9166430862101489,2020-01-02,0.02,False
KHEA,"Tengo 30 (feat. Duki, Cazzu, Neo Pistea & Tali Goya)",2020-01-02 21:25,645,3R1yxKhYKoXqaztyQflEH8,3R1yxKhYKoXqaztyQflEH8,0.533,0.391,129.96,0.102,0.434,0.0,0.803,269538,-6.243,0.378,0,8,0.837648556876061,2020-01-02,0.01,False
Duki,Rockstar,2020-01-02 21:25,1037,3E4ZzO4ySupnYypDPXcc3D,3E4ZzO4ySupnYypDPXcc3D,0.855,0.174,123.991,0.094,0.0906,0.0,0.878,112273,0.642,0.33,1,9,1.0,2020-01-02,0.02,False
Duki,Hitboy,2020-01-02 21:38,118700,624AL3EwsrgGIp6bdwmXgo,624AL3EwsrgGIp6bdwmXgo,0.633,0.122,150.009,0.107,0.153,0.0,0.812,179204,-6.629,0.616,1,8,0.8285465006602528,2020-01-02,1.98,False
Cypress Hill,Siempre Peligroso (feat. Fermin IV Caballero),2020-01-02 23:15,274380,1hSJnfkEqbGF5afz5aqKqi,1hSJnfkEqbGF5afz5aqKqi,0.615,0.0578,92.089,0.377,0.0289,3.1e-05,0.901,237760,-9.837,0.674,0,1,0.7529003961516695,2020-01-02,4.57,True
